#{"t_start": 1773360960.342477, "env_id": "BipedalWalker-v3"}
r,l,t
279.654101,877,1180.722064
277.191033,893,1182.71175
279.832925,879,1183.608159
271.547113,957,1185.576255
271.382835,939,1186.532938
275.913705,920,1188.518898
275.944959,907,1190.534932
275.551305,918,1191.475584
274.198171,928,1194.52982
276.983059,895,1195.444893
273.332029,934,1197.375923
278.728589,880,1198.284043
276.325712,902,1201.646778
275.608608,917,1202.632127
276.369224,914,1203.620704
269.422799,965,1206.91656
-107.687099,100,1207.01932
274.316258,921,1208.002905
277.21663,897,1210.18836
279.346124,875,1212.306144
277.558216,900,1214.961853
278.654427,883,1215.881282
275.848322,914,1217.895391
-33.950939,291,1219.138743
277.683827,884,1220.064415
275.569441,905,1222.008466
276.740492,897,1222.933884
277.479682,889,1225.714436
278.66382,871,1226.639289
280.240516,872,1227.536256
276.951805,897,1229.548799
279.646014,876,1230.632495
276.020328,914,1232.618338
276.953948,886,1233.531679
276.907341,895,1236.189624
277.737402,895,1237.151578
277.462218,875,1238.091976
278.914094,872,1240.034723
275.885678,903,1241.987032
280.021354,872,1244.072512
276.744154,897,1245.009419
-40.4112,226,1245.245772
273.817034,933,1248.106461
273.475516,931,1249.067497
278.253048,883,1251.022606
275.789252,920,1252.927818
278.943057,885,1253.833655
29.355029,462,1255.288879
278.507212,879,1256.185371
273.72726,920,1259.907414
277.383108,897,1260.857226
278.588527,880,1261.863551
166.709394,861,1264.024357
276.050831,899,1265.865836
275.56476,915,1268.238453
278.307034,888,1269.340213
277.048011,889,1272.265909
277.328703,899,1273.220817
280.298706,862,1274.175766
278.968425,884,1276.46835
279.830163,868,1278.340351
278.778123,876,1280.535772
281.576363,857,1281.425282
-106.142595,121,1281.550447
278.470754,894,1284.306292
281.245962,861,1285.23031
279.879524,880,1287.270702
278.033469,887,1288.192007
276.359475,893,1289.90454
278.866863,879,1291.769614
120.855107,747,1292.531456
281.757447,856,1295.373338
277.783749,892,1296.296185
271.6774,954,1298.265017
275.685564,915,1299.199902
276.894817,899,1301.001367
279.612874,874,1302.871142
278.365144,881,1303.779465
278.994043,881,1306.466701
279.347559,867,1307.359074
278.436713,881,1309.31011
283.966313,840,1310.165374
278.868099,881,1311.957604
278.27764,871,1313.825172
274.455167,921,1314.799757
278.097194,867,1316.665359
276.083921,914,1318.52716
278.827396,881,1320.42811
271.177463,948,1321.391717
276.885299,882,1322.917206
275.757482,901,1324.809387
277.697413,889,1325.718362
273.793917,924,1328.078542
275.552566,927,1329.026531
277.53087,891,1331.024454
279.299368,877,1331.946153
277.918366,885,1334.732831
276.274974,906,1335.688014
277.431407,891,1336.612753
279.037931,878,1339.488795
272.425005,944,1340.454305
278.854941,867,1342.303421
279.376399,871,1343.196881
277.780701,880,1346.032292
278.568081,883,1346.957344
279.861793,860,1348.028471
281.199012,865,1350.420622
280.0497,870,1352.420961
280.806814,862,1354.742773
277.742272,896,1355.760457
274.006339,924,1359.20013
279.01742,888,1360.186628
275.65881,879,1361.187555
275.232639,903,1363.117685
279.445663,865,1365.05036
279.431512,872,1367.423005
275.421704,914,1368.359904
280.218908,862,1371.294273
-5.252178,371,1371.679682
279.534578,859,1372.56127
0.43914,369,1372.937955
277.840956,887,1374.877101
279.613395,855,1376.710978
272.220635,947,1378.872134
275.120659,907,1379.814768
279.076269,866,1382.622967
277.660269,878,1383.523153
279.225745,865,1384.411013
278.996957,869,1386.302876
280.376647,861,1388.082708
149.07399,778,1389.857819
-95.692299,194,1390.057745
276.895529,891,1390.991178
280.654715,864,1393.777153
276.963673,897,1394.753131
276.993539,885,1395.692005
279.44892,867,1397.555994
-111.930231,63,1397.623786
281.09439,861,1399.399924
278.779975,880,1401.299897
277.933134,889,1402.206721
277.367036,891,1405.133178
275.580462,918,1406.108299
278.607093,865,1406.987932
279.642104,867,1408.870961
276.573532,893,1410.642489
274.527124,920,1412.560172
272.562603,932,1413.511742
279.604227,868,1416.429328
276.909176,888,1417.390783
281.317227,852,1419.24838
280.370201,866,1420.135802
278.814588,865,1421.941493
277.776454,899,1423.916539
276.618062,883,1424.843902
273.912334,914,1427.6557
280.045459,860,1428.560003
